[2025-02-10 15:08:37] DEBUG | root - line: lf AND lq -> ls
[2025-02-10 15:08:37] DEBUG | root - line: 1 AND ke -> kf
[2025-02-10 15:08:37] DEBUG | root - line: NOT gs -> gt
[2025-02-10 15:08:37] DEBUG | root - line: aw AND ay -> az
[2025-02-10 15:08:37] DEBUG | root - line: x RSHIFT 2 -> y
[2025-02-10 15:08:37] DEBUG | root - line: ab AND ad -> ae
[2025-02-10 15:08:37] DEBUG | root - line: ff AND fh -> fi
[2025-02-10 15:08:37] DEBUG | root - line: ci AND ct -> cv
[2025-02-10 15:08:37] DEBUG | root - line: eq LSHIFT 1 -> fk
[2025-02-10 15:08:37] DEBUG | root - line: gj RSHIFT 3 -> gl
[2025-02-10 15:08:37] DEBUG | root - line: u LSHIFT 1 -> ao
[2025-02-10 15:08:37] DEBUG | root - line: NOT bb -> bc
[2025-02-10 15:08:37] DEBUG | root - line: NOT hj -> hk
[2025-02-10 15:08:37] DEBUG | root - line: kw AND ky -> kz
[2025-02-10 15:08:37] DEBUG | root - line: as AND bd -> bf
[2025-02-10 15:08:37] DEBUG | root - line: dw OR dx -> dy
[2025-02-10 15:08:37] DEBUG | root - line: br AND bt -> bu
[2025-02-10 15:08:37] DEBUG | root - line: kk AND kv -> kx
[2025-02-10 15:08:37] DEBUG | root - line: ep OR eo -> eq
[2025-02-10 15:08:37] DEBUG | root - line: he RSHIFT 1 -> hx
[2025-02-10 15:08:37] DEBUG | root - line: ki OR kj -> kk
[2025-02-10 15:08:37] DEBUG | root - line: NOT ju -> jv
[2025-02-10 15:08:37] DEBUG | root - line: ek AND em -> en
[2025-02-10 15:08:37] DEBUG | root - line: kk RSHIFT 5 -> kn
[2025-02-10 15:08:37] DEBUG | root - line: NOT eh -> ei
[2025-02-10 15:08:37] DEBUG | root - line: hx OR hy -> hz
[2025-02-10 15:08:37] DEBUG | root - line: ea OR eb -> ec
[2025-02-10 15:08:37] DEBUG | root - line: s LSHIFT 15 -> w
[2025-02-10 15:08:37] DEBUG | root - line: fo RSHIFT 1 -> gh
[2025-02-10 15:08:37] DEBUG | root - line: kk OR kv -> kw
[2025-02-10 15:08:37] DEBUG | root - line: bn RSHIFT 5 -> bq
[2025-02-10 15:08:37] DEBUG | root - line: NOT ed -> ee
[2025-02-10 15:08:37] DEBUG | root - line: 1 AND ht -> hu
[2025-02-10 15:08:37] DEBUG | root - line: cu AND cw -> cx
[2025-02-10 15:08:37] DEBUG | root - line: b RSHIFT 5 -> f
[2025-02-10 15:08:37] DEBUG | root - line: kl AND kr -> kt
[2025-02-10 15:08:37] DEBUG | root - line: iq OR ip -> ir
[2025-02-10 15:08:37] DEBUG | root - line: ci RSHIFT 2 -> cj
[2025-02-10 15:08:37] DEBUG | root - line: cj OR cp -> cq
[2025-02-10 15:08:37] DEBUG | root - line: o AND q -> r
[2025-02-10 15:08:37] DEBUG | root - line: dd RSHIFT 5 -> dg
[2025-02-10 15:08:37] DEBUG | root - line: b RSHIFT 2 -> d
[2025-02-10 15:08:37] DEBUG | root - line: ks AND ku -> kv
[2025-02-10 15:08:37] DEBUG | root - line: b RSHIFT 3 -> e
[2025-02-10 15:08:37] DEBUG | root - line: d OR j -> k
[2025-02-10 15:08:37] DEBUG | root - line: NOT p -> q
[2025-02-10 15:08:37] DEBUG | root - line: NOT cr -> cs
[2025-02-10 15:08:37] DEBUG | root - line: du OR dt -> dv
[2025-02-10 15:08:37] DEBUG | root - line: kf LSHIFT 15 -> kj
[2025-02-10 15:08:37] DEBUG | root - line: NOT ac -> ad
[2025-02-10 15:08:37] DEBUG | root - line: fo RSHIFT 5 -> fr
[2025-02-10 15:08:37] DEBUG | root - line: hz OR ik -> il
[2025-02-10 15:08:37] DEBUG | root - line: jx AND jz -> ka
[2025-02-10 15:08:37] DEBUG | root - line: gh OR gi -> gj
[2025-02-10 15:08:37] DEBUG | root - line: kk RSHIFT 1 -> ld
[2025-02-10 15:08:37] DEBUG | root - line: hz RSHIFT 5 -> ic
[2025-02-10 15:08:37] DEBUG | root - line: as RSHIFT 2 -> at
[2025-02-10 15:08:37] DEBUG | root - line: NOT jy -> jz
[2025-02-10 15:08:37] DEBUG | root - line: 1 AND am -> an
[2025-02-10 15:08:37] DEBUG | root - line: ci OR ct -> cu
[2025-02-10 15:08:37] DEBUG | root - line: hg AND hh -> hj
[2025-02-10 15:08:37] DEBUG | root - line: jq OR jw -> jx
[2025-02-10 15:08:37] DEBUG | root - line: v OR w -> x
[2025-02-10 15:08:37] DEBUG | root - line: la LSHIFT 15 -> le
[2025-02-10 15:08:37] DEBUG | root - line: dh AND dj -> dk
[2025-02-10 15:08:37] DEBUG | root - line: dp AND dr -> ds
[2025-02-10 15:08:37] DEBUG | root - line: jq AND jw -> jy
[2025-02-10 15:08:37] DEBUG | root - line: au OR av -> aw
[2025-02-10 15:08:37] DEBUG | root - line: NOT bf -> bg
[2025-02-10 15:08:37] DEBUG | root - line: z OR aa -> ab
[2025-02-10 15:08:37] DEBUG | root - line: ga AND gc -> gd
[2025-02-10 15:08:37] DEBUG | root - line: hz AND ik -> im
[2025-02-10 15:08:37] DEBUG | root - line: jt AND jv -> jw
[2025-02-10 15:08:37] DEBUG | root - line: z AND aa -> ac
[2025-02-10 15:08:37] DEBUG | root - line: jr OR js -> jt
[2025-02-10 15:08:37] DEBUG | root - line: hb LSHIFT 1 -> hv
[2025-02-10 15:08:37] DEBUG | root - line: hf OR hl -> hm
[2025-02-10 15:08:37] DEBUG | root - line: ib OR ic -> id
[2025-02-10 15:08:37] DEBUG | root - line: fq OR fr -> fs
[2025-02-10 15:08:37] DEBUG | root - line: cq AND cs -> ct
[2025-02-10 15:08:37] DEBUG | root - line: ia OR ig -> ih
[2025-02-10 15:08:37] DEBUG | root - line: dd OR do -> dp
[2025-02-10 15:08:37] DEBUG | root - line: d AND j -> l
[2025-02-10 15:08:37] DEBUG | root - line: ib AND ic -> ie
[2025-02-10 15:08:37] DEBUG | root - line: as RSHIFT 3 -> au
[2025-02-10 15:08:37] DEBUG | root - line: be AND bg -> bh
[2025-02-10 15:08:37] DEBUG | root - line: dd AND do -> dq
[2025-02-10 15:08:37] DEBUG | root - line: NOT l -> m
[2025-02-10 15:08:37] DEBUG | root - line: 1 AND gd -> ge
[2025-02-10 15:08:37] DEBUG | root - line: y AND ae -> ag
[2025-02-10 15:08:37] DEBUG | root - line: fo AND fz -> gb
[2025-02-10 15:08:37] DEBUG | root - line: NOT ie -> if
[2025-02-10 15:08:37] DEBUG | root - line: e AND f -> h
[2025-02-10 15:08:37] DEBUG | root - line: x RSHIFT 3 -> z
[2025-02-10 15:08:37] DEBUG | root - line: y OR ae -> af
[2025-02-10 15:08:37] DEBUG | root - line: hf AND hl -> hn
[2025-02-10 15:08:37] DEBUG | root - line: NOT h -> i
[2025-02-10 15:08:37] DEBUG | root - line: NOT hn -> ho
[2025-02-10 15:08:37] DEBUG | root - line: he RSHIFT 5 -> hh
